source,time,region,region_code,lat,lon,temp,temp_feels,hum,pressure,wind_speed,wind_dir,weather_code,processed_at,quality_flag,weather_label
open-meteo,2026-05-14 16:57:02.066961+00:00,Dakar,DK,14.6928,-17.4467,22.7,21.9,68.0,1009.5,21.3,355,2,2026-05-14T16:57:07.454032+00:00,OK,
openweathermap,2026-05-14 16:57:06.385762+00:00,Dakar,DK,14.6928,-17.4467,22.93,23.39,81.0,1011.0,6.17,320,802,2026-05-14T16:57:07.349914+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 16:57:10.054914+00:00,Thiès,TH,14.7886,-16.9255,26.2,25.0,50.0,1001.4,19.7,337,3,2026-05-14T16:57:14.433028+00:00,OK,
openweathermap,2026-05-14 16:57:14.336558+00:00,Thiès,TH,14.7886,-16.9255,26.08,26.08,52.0,1010.0,6.15,328,804,2026-05-14T16:57:14.466256+00:00,OK,couvert
open-meteo,2026-05-14 16:57:20.260413+00:00,Diourbel,DB,14.6554,-16.2322,34.3,33.7,31.0,1007.0,14.9,305,1,2026-05-14T16:57:24.891399+00:00,OK,
openweathermap,2026-05-14 16:57:24.599260+00:00,Diourbel,DB,14.6554,-16.2322,35.09,36.79,38.0,1008.0,3.09,360,800,2026-05-14T16:57:24.786491+00:00,OK,ciel dégagé
open-meteo,2026-05-14 16:57:28.358351+00:00,Fatick,FK,14.339,-16.4114,34.8,35.0,32.0,1007.6,11.8,293,1,2026-05-14T16:57:32.882068+00:00,OK,
openweathermap,2026-05-14 16:57:32.669171+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T16:57:32.999631+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 16:57:38.578288+00:00,Kaolack,KL,14.1652,-16.0726,36.0,35.6,28.0,1007.1,14.1,281,1,2026-05-14T16:57:43.133087+00:00,OK,
openweathermap,2026-05-14 16:57:42.949864+00:00,Kaolack,KL,14.1652,-16.0726,35.97,37.18,34.0,1008.0,4.12,320,800,2026-05-14T16:57:43.569751+00:00,OK,ciel dégagé
open-meteo,2026-05-14 16:57:45.840562+00:00,Kaffrine,KF,14.1059,-15.5503,36.3,36.1,31.0,1006.2,16.2,274,0,2026-05-14T16:57:50.302769+00:00,OK,
openweathermap,2026-05-14 16:57:50.136686+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T16:57:50.247250+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 16:57:56.070943+00:00,Tambacounda,TC,13.7707,-13.6673,39.3,39.0,26.0,1002.8,17.3,239,1,2026-05-14T16:58:00.524181+00:00,OK,
openweathermap,2026-05-14 16:58:00.379266+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,45.9,31.0,1005.0,4.12,240,800,2026-05-14T16:58:00.584737+00:00,OK,ciel dégagé
open-meteo,2026-05-14 16:58:03.361289+00:00,Kédougou,KD,12.5559,-12.1747,36.3,37.7,40.0,994.2,18.6,258,51,2026-05-14T16:58:08.113285+00:00,OK,
openweathermap,2026-05-14 16:58:07.984739+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.0,39.0,1006.0,4.63,250,801,2026-05-14T16:58:08.196164+00:00,OK,peu nuageux
open-meteo,2026-05-14 16:58:13.925728+00:00,Kolda,KO,12.8989,-14.9413,37.5,38.2,32.0,1004.4,14.6,249,0,2026-05-14T16:58:18.354680+00:00,OK,
openweathermap,2026-05-14 16:58:18.208728+00:00,Kolda,KO,12.8989,-14.9413,41.05,43.78,27.0,1006.0,4.12,220,800,2026-05-14T16:58:18.407566+00:00,OK,ciel dégagé
open-meteo,2026-05-14 16:58:21.141070+00:00,Sédhiou,SD,12.708,-15.5569,36.0,36.7,35.0,1005.8,16.1,241,0,2026-05-14T16:58:25.638305+00:00,OK,
openweathermap,2026-05-14 16:58:25.408500+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T16:58:25.564512+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 16:58:31.299720+00:00,Ziguinchor,ZG,12.5681,-16.2719,31.5,31.5,39.0,1007.5,14.2,263,0,2026-05-14T16:58:36.003340+00:00,OK,
openweathermap,2026-05-14 16:58:35.600284+00:00,Ziguinchor,ZG,12.5681,-16.2719,34.03,39.15,52.0,1009.0,4.12,300,802,2026-05-14T16:58:35.826969+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 16:58:38.536980+00:00,Saint-Louis,SL,16.0179,-16.4896,24.7,23.0,53.0,1008.9,22.5,332,2,2026-05-14T16:58:42.986920+00:00,OK,
openweathermap,2026-05-14 16:58:42.808119+00:00,Saint-Louis,SL,16.0179,-16.4896,21.12,21.3,77.0,1009.0,6.51,305,801,2026-05-14T16:58:42.919568+00:00,OK,peu nuageux
open-meteo,2026-05-14 16:58:48.688125+00:00,Louga,LG,15.6179,-16.2241,30.0,29.0,40.0,1004.2,18.1,299,2,2026-05-14T16:58:53.277483+00:00,OK,
openweathermap,2026-05-14 16:58:53.094587+00:00,Louga,LG,15.6179,-16.2241,26.83,27.2,49.0,1009.0,7.7,291,804,2026-05-14T16:58:53.419831+00:00,OK,couvert
open-meteo,2026-05-14 16:58:55.994015+00:00,Matam,MT,15.6559,-13.2557,40.8,39.1,18.0,1002.8,15.7,283,0,2026-05-14T16:59:00.434936+00:00,OK,
openweathermap,2026-05-14 16:59:00.287846+00:00,Matam,MT,15.6559,-13.2557,41.03,44.7,29.0,1005.0,4.12,280,800,2026-05-14T16:59:00.557098+00:00,OK,ciel dégagé
openweathermap,2026-05-14 17:00:21.878750+00:00,Dakar,DK,14.6928,-17.4467,22.93,23.39,81.0,1011.0,6.17,320,802,2026-05-14T17:00:22.090128+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:00:31.358513+00:00,Thiès,TH,14.7886,-16.9255,25.9,24.6,51.0,1001.4,19.7,337,3,2026-05-14T17:00:35.786974+00:00,OK,
openweathermap,2026-05-14 17:00:35.671929+00:00,Thiès,TH,14.7886,-16.9255,26.08,26.08,52.0,1010.0,6.15,328,804,2026-05-14T17:00:35.850686+00:00,OK,couvert
open-meteo,2026-05-14 17:00:43.238415+00:00,Diourbel,DB,14.6554,-16.2322,34.0,33.2,31.0,1007.0,15.2,306,1,2026-05-14T17:00:47.750726+00:00,OK,
openweathermap,2026-05-14 17:00:47.596151+00:00,Diourbel,DB,14.6554,-16.2322,35.09,36.79,38.0,1008.0,3.09,360,800,2026-05-14T17:00:47.846880+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:00:54.489975+00:00,Fatick,FK,14.339,-16.4114,34.5,34.8,32.0,1007.6,11.8,296,1,2026-05-14T17:00:59.071228+00:00,OK,
openweathermap,2026-05-14 17:00:58.894035+00:00,Fatick,FK,14.339,-16.4114,31.87,31.45,36.0,1009.0,6.15,241,802,2026-05-14T17:00:59.044663+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:01:01.353700+00:00,Kaolack,KL,14.1652,-16.0726,35.9,35.5,29.0,1007.1,14.1,281,1,2026-05-14T17:01:05.774559+00:00,OK,
openweathermap,2026-05-14 17:01:05.648751+00:00,Kaolack,KL,14.1652,-16.0726,35.97,37.18,34.0,1008.0,4.12,320,800,2026-05-14T17:01:05.836333+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:01:11.999889+00:00,Kaffrine,KF,14.1059,-15.5503,36.2,36.0,31.0,1006.1,16.4,274,0,2026-05-14T17:01:16.431374+00:00,OK,
openweathermap,2026-05-14 17:01:16.291347+00:00,Kaffrine,KF,14.1059,-15.5503,36.06,34.94,24.0,1008.0,7.71,238,802,2026-05-14T17:01:16.862964+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:01:19.017157+00:00,Tambacounda,TC,13.7707,-13.6673,39.2,38.9,26.0,1002.8,17.1,240,1,2026-05-14T17:01:23.506022+00:00,OK,
openweathermap,2026-05-14 17:01:23.337987+00:00,Tambacounda,TC,13.7707,-13.6673,41.12,45.9,31.0,1005.0,4.12,240,800,2026-05-14T17:01:23.544869+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:01:29.255221+00:00,Kédougou,KD,12.5559,-12.1747,36.1,37.5,40.0,994.2,18.7,257,51,2026-05-14T17:01:33.887144+00:00,OK,
openweathermap,2026-05-14 17:01:33.711932+00:00,Kédougou,KD,12.5559,-12.1747,39.31,46.0,39.0,1006.0,4.63,250,801,2026-05-14T17:01:33.982631+00:00,OK,peu nuageux
open-meteo,2026-05-14 17:01:36.557682+00:00,Kolda,KO,12.8989,-14.9413,37.3,38.0,32.0,1004.4,14.8,249,0,2026-05-14T17:01:41.068466+00:00,OK,
openweathermap,2026-05-14 17:01:40.868555+00:00,Kolda,KO,12.8989,-14.9413,41.05,43.78,27.0,1006.0,4.12,220,800,2026-05-14T17:01:40.996536+00:00,OK,ciel dégagé
open-meteo,2026-05-14 17:01:46.849530+00:00,Sédhiou,SD,12.708,-15.5569,35.8,36.4,36.0,1005.8,16.5,242,0,2026-05-14T17:01:51.788463+00:00,OK,
openweathermap,2026-05-14 17:01:51.265233+00:00,Sédhiou,SD,12.708,-15.5569,37.53,37.47,26.0,1007.0,5.66,252,802,2026-05-14T17:01:51.349265+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:01:54.067285+00:00,Ziguinchor,ZG,12.5681,-16.2719,31.1,31.1,40.0,1007.5,14.0,263,0,2026-05-14T17:01:58.500511+00:00,OK,
openweathermap,2026-05-14 17:01:58.356131+00:00,Ziguinchor,ZG,12.5681,-16.2719,34.03,39.15,52.0,1009.0,4.12,300,802,2026-05-14T17:01:58.535284+00:00,OK,partiellement nuageux
open-meteo,2026-05-14 17:02:04.264276+00:00,Saint-Louis,SL,16.0179,-16.4896,24.4,22.7,54.0,1008.9,22.5,333,3,2026-05-14T17:02:08.661338+00:00,OK,
